Date,Open,High,Low,Close,Adj Close,Volume
2006-03-23,15.350000,15.360000,15.267500,15.307500,12.245325,829600
2006-03-24,15.325000,15.367500,15.267500,15.335000,12.267326,2175600
2006-03-27,15.312500,15.312500,15.217500,15.242500,12.225614,5187600
2006-03-28,15.250000,15.305000,15.137500,15.150000,12.151421,6843200
2006-03-29,15.162500,15.302500,15.162500,15.262500,12.241655,1044000
2006-03-30,15.275000,15.360000,15.200000,15.272500,12.249675,778000
2006-03-31,15.282500,15.297500,15.172500,15.225000,12.211578,705600
2006-04-03,15.350000,15.350000,15.175000,15.205000,12.195541,1278000
2006-04-04,15.175000,15.295000,15.150000,15.250000,12.231629,743600
2006-04-05,15.250000,15.335000,15.242500,15.320000,12.287771,8442400
2006-04-06,15.287500,15.335000,15.220000,15.282500,12.257699,699200
2006-04-07,15.295000,15.355000,15.125000,15.125000,12.131372,2515200
2006-04-10,15.195000,15.195000,15.100000,15.157500,12.157437,818400
2006-04-11,15.162500,15.190000,14.992500,15.037500,12.061190,2770400
2006-04-12,15.057500,15.087500,15.025000,15.045000,12.067204,552400
2006-04-13,14.997500,15.085000,14.987500,15.042500,12.065196,822800
2006-04-17,15.062500,15.077500,14.932500,14.982500,12.017077,696400
2006-04-18,15.070000,15.235000,15.047500,15.235000,12.219601,1542000
2006-04-19,15.250000,15.260000,15.160000,15.252500,12.233633,980800
2006-04-20,15.212500,15.312500,15.197500,15.250000,12.231629,865600
2006-04-21,15.325000,15.357500,15.187500,15.250000,12.231629,962400
2006-04-24,15.232500,15.237500,15.155000,15.197500,12.189521,677200
2006-04-25,15.237500,15.242500,15.110000,15.150000,12.151421,1432000
2006-04-26,15.197500,15.257500,15.145000,15.182500,12.177493,1346000
2006-04-27,15.087500,15.287500,15.070000,15.227500,12.213587,939600
2006-04-28,15.160000,15.230000,15.137500,15.200000,12.191526,1390800
2006-05-01,15.200000,15.250000,15.085000,15.090000,12.103299,1542400
2006-05-02,15.180000,15.182500,15.102500,15.172500,12.169470,841200
2006-05-03,15.150000,15.150000,15.030000,15.090000,12.103299,925200
2006-05-04,15.092500,15.165000,15.090000,15.130000,12.135382,1570400
2006-05-05,15.182500,15.275000,15.177500,15.260000,12.239653,745200
2006-05-08,15.250000,15.280000,15.230000,15.267500,12.245666,673200
2006-05-09,15.235000,15.267500,15.212500,15.250000,12.231629,872800
2006-05-10,15.195000,15.245000,15.162500,15.212500,12.201553,914800
2006-05-11,15.237500,15.237500,14.982500,15.025000,12.051162,1456400
2006-05-12,14.962500,15.007500,14.850000,14.850000,11.910800,1596800
2006-05-15,14.820000,14.955000,14.800000,14.937500,11.980985,1402000
2006-05-16,14.945000,14.962500,14.882500,14.882500,11.936867,634000
2006-05-17,14.812500,14.872500,14.642500,14.650000,11.750384,1747600
2006-05-18,14.685000,14.737500,14.582500,14.582500,11.696246,1244000
2006-05-19,14.600000,14.682500,14.495000,14.625000,11.730335,2198800
2006-05-22,14.525000,14.667500,14.477500,14.565000,11.682206,1660400
2006-05-23,14.662500,14.712500,14.425000,14.425000,11.569921,1350800
2006-05-24,14.505000,14.625000,14.407500,14.585000,11.698250,1233200
2006-05-25,14.675000,14.750000,14.617500,14.750000,11.830596,1118400
2006-05-26,14.805000,14.810000,14.725000,14.810000,11.878719,902400
2006-05-30,14.770000,14.770000,14.557500,14.560000,11.678200,524800
2006-05-31,14.570000,14.665000,14.560000,14.662500,11.760413,1569200
2006-06-01,14.587500,14.825000,14.587500,14.792500,11.864680,1078400
2006-06-02,14.887500,14.887500,14.747500,14.842500,11.904786,784000
2006-06-05,14.800000,14.800000,14.570000,14.587500,11.700255,710000
2006-06-06,14.637500,14.637500,14.475000,14.587500,11.700255,855200
2006-06-07,14.612500,14.695000,14.495000,14.495000,11.626062,3412400
2006-06-08,14.452500,14.565000,14.275000,14.467500,11.604006,1819600
2006-06-09,14.512500,14.575000,14.427500,14.455000,11.593983,1306000
2006-06-12,14.475000,14.495000,14.270000,14.285000,11.457632,1026000
2006-06-13,14.237500,14.382500,14.165000,14.167500,11.363380,5062800
2006-06-14,14.237500,14.285000,14.157500,14.262500,11.439583,2126000
2006-06-15,14.320000,14.585000,14.320000,14.537500,11.660154,1237200
2006-06-16,14.500000,14.550000,14.442500,14.447500,11.587966,746400
2006-06-19,14.525000,14.562500,14.332500,14.355000,11.513770,971600
2006-06-20,14.410000,14.457500,14.337500,14.367500,11.523801,970800
2006-06-21,14.375000,14.562500,14.375000,14.490000,11.622058,1361600
2006-06-22,14.492500,14.492500,14.362500,14.417500,11.563902,774800
2006-06-23,14.325000,14.457500,14.325000,14.370000,11.562296,517200
